李文秀,女,18,010200901,白马中学,130,130,100,A,B

苏普,男,20,010200902,白马中学,110,120,100,A,B+

胡一刀,男,19,020200901,飞狐一中,120,140,119,A,A

苗人凤,男,19,020200902,飞狐一中,130,130,100,C+,A

田归农,男,20,020200903,飞狐一中,140,150,110,A,A+

胡斐,男,18,020200904,飞狐一中,140,120,100,B+,B

苗若兰,女,20,020200905,飞狐一中,145,136,79,A,B+

程灵素,女,19,020200906,飞狐一中,130,124,100,A,A

黄药师,男,19,030200901,射雕中学,135,135,120,A+,A

郭靖,男,18,030200902,射雕中学,140,137,121,B,B

黄蓉,女,18,030200903,射雕中学,145,150,119,A+,A+

拙荆,女,20,030200904,射雕中学,130,140,116,B,A

欧阳锋,男,19,030200905,射雕中学,140,90,89,D,B+

洪七公,男,19,030200906,射雕中学,134,145,115,A,A

华筝,女,19,030200907,射雕中学,130,160,118,A,A+

梅超风,女,20,030200908,射雕中学,140,131,117,B+,B

杨铁心,男,21,030200909,射雕中学,138,128,103,B,A

杨康,男,19,030200910,射雕中学,100,99,98,B,B

穆念慈,女,20,030200911,射雕中学,107,106,110,A+,A

陆菲青,男,20,040200901,书剑二中,138,139,105,A,B

李克秀,男,18,040200902,书剑二中,129,145,116,B,B

李阮芷,女,18,040200903,书剑二中,145,110,110,A,A

霍青桐,女,19,040200904,书剑二中,125,160,119,B,A+

陈家洛,男,19,040200905,书剑二中,137,156,115,A+,A+

骆冰,女,19,040200906,书剑二中,129,145,109,A,A

张召重,男,18,040200907,书剑二中,120,100,110,B,B+

李仲英,男,18,040200908,书剑二中,114,115,100,A,B

段誉,男,17,050200901,天龙三中,138,129,112,A,B+

王语嫣,女,18,050200902,天龙三中,134,134,110,B,A

萧峰,男,19,050200903,天龙三中,100,77,88,B,C

钟灵,女,18,050200904,天龙三中,126,145,112,B,A

木婉清,女,18,050200905,天龙三中,134,145,108,B+,B

游坦之,男,19,050200906,天龙三中,129,144,98,A,A

阿朱,女,20,050200907,天龙三中,105,155,100,B,B

阿碧,女,19,050200908,天龙三中,99,159,102,A,B

阿紫,女,17,050200909,天龙三中,135,145,89,A,A

虚竹,男,18,050200910,天龙三中,120,100,90,A+,C

张无忌,男,19,060200901,倚天中学,129,134,109,A+,A

赵敏,女,18,060200902,倚天中学,140,100,120,B,A

周芷若,女,17,060200903,倚天中学,150,90,120,B+,A+

谢逊,男,19,060200904,倚天中学,138,156,112,A,A

殷梨亭,女,19,060200905,倚天中学,136,127,111,A,B

殷素素,女,19,060200906,倚天中学,150,120,110,A,D+

令狐冲,男,19,070200901,笑傲一中,124,145,103,B,B

任盈盈,女,18,070200902,笑傲一中,134,145,99,B,A+

岳灵珊,男,20,070200903,笑傲一中,129,138,102,A,B

左冷禅,男,19,070200904,笑傲一中,148,150,103,A,B

岳不群,男,18,070200905,笑傲一中,139,128,110,A,A

林平之,男,17,070200906,笑傲一中,125,136,99,A,A

任我行,男,17,070200907,笑傲一中,114,148,98,A,A+
